code,State,2010,2011,2012,2013,2014,2015,value,2017,lat,long
1,"New South Wales	",3906,4025,4195,4317,4362,4381,4794,4715,-33.42004148,151.3000048
2,Victoria,2274,2072,2277,2327,2463,2699,2824,2989,-37.73119953,142.0234135
3,Queensland,3118,3305,3449,3699,3708,3756,3972,4130,-26.67998777,153.0500272
5,Western Australia,1039,1117,1150,1317,1304,1569,1546,1465,-33.58287392,120.0333345
4,South Australia,700,708,715,748,822,775,819,814,-34.28293455,140.6000378
6,Tasmania,292,261,254,274,332,303,332,334,-40.83292234,145.1166613
8,Australian Capital Territory,125,124,132,135,144,154,167,184,-35.3546004,149.2113468
7,Northern Territory,53,54,60,63,68,75,82,n.p.,-13.81617348,131.816698
